Date,NASDAQ,KOSPI
2017/11/13,6757.6,2530.35
2017/11/14,6737.87,2526.64
2017/11/15,6706.21,2518.25
2017/11/16,6793.29,2534.79
2017/11/17,6782.79,2533.99
2017/11/20,6790.71,2527.67
2017/11/21,6862.48,2530.7
2017/11/22,6867.36,2540.51
2017/11/23,6867.36,2537.15
2017/11/24,6889.16,2544.33
2017/11/27,6878.52,2507.81
2017/11/28,6912.36,2514.19
2017/11/29,6824.39,2512.9
2017/11/30,6873.97,2476.37
2017/12/01,6847.59,2475.41
2017/12/04,6775.37,2501.67
2017/12/05,6762.21,2510.12
2017/12/06,6776.38,2474.37
2017/12/07,6812.84,2461.98
2017/12/08,6840.08,2464.0
2017/12/11,6875.08,2471.49
2017/12/12,6862.32,2461.0
2017/12/13,6875.8,2480.55
2017/12/14,6856.53,2469.48
2017/12/15,6936.58,2482.07
2017/12/18,6994.76,2481.88
2017/12/19,6963.85,2478.53
2017/12/20,6960.96,2472.37
2017/12/21,6965.36,2429.83
2017/12/22,6959.96,2440.54
2017/12/26,6936.25,2427.34
2017/12/27,6939.34,2436.67
2017/12/28,6950.16,2467.49
2017/12/29,6903.39,2467.49
2018/01/02,7006.9,2479.65
2018/01/03,7065.53,2486.35
2018/01/04,7077.91,2466.46
2018/01/05,7136.56,2497.52
2018/01/08,7157.39,2513.28
2018/01/09,7163.58,2510.23
2018/01/10,7153.57,2499.75
2018/01/11,7211.78,2487.91
2018/01/12,7261.06,2496.42
2018/01/15,7261.06,2503.73
2018/01/16,7223.69,2521.74
2018/01/17,7298.28,2515.43
2018/01/18,7296.05,2515.81
2018/01/19,7336.38,2520.26
2018/01/22,7408.03,2502.11
2018/01/23,7460.29,2536.6
2018/01/24,7415.06,2538.0
2018/01/25,7411.16,2562.23
2018/01/26,7505.77,2574.76
2018/01/29,7466.51,2598.19
2018/01/30,7402.48,2567.74
2018/01/31,7411.48,2566.46
2018/02/01,7385.86,2568.54
2018/02/02,7240.95,2525.39
2018/02/05,6967.53,2491.75
2018/02/06,7115.88,2453.31
2018/02/07,7051.98,2396.56
2018/02/08,6777.16,2407.62
2018/02/09,6874.49,2363.77
2018/02/12,6981.96,2385.38
2018/02/13,7013.51,2395.19
2018/02/14,7143.61,2421.83
2018/02/15,7256.43,2421.83
2018/02/16,7239.47,2421.83
2018/02/19,7239.47,2442.82
2018/02/20,7234.31,2415.12
2018/02/21,7218.23,2429.65
2018/02/22,7210.09,2414.28
2018/02/23,7337.39,2451.52
2018/02/26,7421.46,2457.65
2018/02/27,7330.35,2456.14
2018/02/28,7273.01,2427.36
2018/03/01,7180.56,2427.36
2018/03/02,7257.87,2402.16
2018/03/05,7330.7,2375.06
2018/03/06,7372.01,2411.41
2018/03/07,7396.65,2401.82
2018/03/08,7427.95,2433.08
2018/03/09,7560.81,2459.45
2018/03/12,7588.32,2484.12
2018/03/13,7511.01,2494.49
2018/03/14,7496.81,2486.08
2018/03/15,7481.74,2492.38
2018/03/16,7481.99,2493.97
2018/03/19,7344.24,2475.03
2018/03/20,7364.3,2485.52
2018/03/21,7345.28,2484.97
2018/03/22,7166.68,2496.02
2018/03/23,6992.67,2416.76
2018/03/26,7220.54,2437.08
2018/03/27,7008.81,2452.06
2018/03/28,6949.23,2419.29
2018/03/29,7063.44,2436.37
2018/03/30,7063.44,2445.85
2018/04/02,6870.12,2444.16
2018/04/03,6941.28,2442.43
2018/04/04,7042.11,2408.06
2018/04/05,7076.55,2437.52
2018/04/06,6915.11,2429.58
2018/04/09,6950.34,2444.08
2018/04/10,7094.3,2450.74
2018/04/11,7069.03,2444.22
2018/04/12,7140.25,2442.71
2018/04/13,7106.65,2455.07
2018/04/16,7156.28,2457.49
2018/04/17,7281.1,2453.77
2018/04/18,7295.24,2479.98
2018/04/19,7238.06,2486.1
2018/04/20,7146.13,2476.33
2018/04/23,7128.6,2474.11
2018/04/24,7007.35,2464.14
2018/04/25,7003.74,2448.81
2018/04/26,7118.68,2475.64
2018/04/27,7119.8,2492.4
2018/04/30,7066.27,2515.38
2018/05/01,7130.7,2515.38
2018/05/02,7100.9,2505.61
2018/05/03,7088.15,2487.25
2018/05/04,7209.62,2461.38
2018/05/07,7265.21,2461.38
2018/05/08,7266.9,2449.81
2018/05/09,7339.9,2443.98
2018/05/10,7404.98,2464.16
2018/05/11,7402.88,2477.71
2018/05/14,7411.31,2476.11
2018/05/15,7351.63,2458.54
2018/05/16,7398.3,2459.82
2018/05/17,7382.47,2448.45
2018/05/18,7354.34,2460.65
2018/05/21,7394.04,2465.57
2018/05/22,7378.45,2465.57
2018/05/23,7425.95,2471.91
2018/05/24,7424.43,2466.01
2018/05/25,7433.85,2460.8
2018/05/28,7433.85,2478.96
2018/05/29,7396.59,2457.25
2018/05/30,7462.45,2409.03
2018/05/31,7442.12,2423.01
2018/06/01,7554.33,2438.96
2018/06/04,7606.46,2447.76
2018/06/05,7637.86,2453.76
2018/06/06,7689.24,2453.76
2018/06/07,7635.07,2470.58
2018/06/08,7645.51,2451.58
2018/06/11,7659.93,2470.15
2018/06/12,7703.79,2468.83
2018/06/13,7695.7,2468.83
2018/06/14,7761.04,2423.48
2018/06/15,7746.38,2404.04
2018/06/18,7747.02,2376.24
2018/06/19,7725.59,2340.11
2018/06/20,7781.52,2363.91
2018/06/21,7712.95,2337.83
2018/06/22,7692.82,2357.22
2018/06/25,7532.01,2357.88
2018/06/26,7561.63,2350.92
2018/06/27,7445.09,2342.03
2018/06/28,7503.68,2314.24
2018/06/29,7510.3,2326.13
2018/07/02,7567.69,2271.54
2018/07/03,7502.67,2272.76
2018/07/04,7502.67,2265.46
2018/07/05,7586.43,2257.55
2018/07/06,7688.39,2272.87
2018/07/09,7756.2,2285.8
2018/07/10,7759.2,2294.16
2018/07/11,7716.61,2280.62
2018/07/12,7823.92,2285.06
2018/07/13,7825.98,2310.9
2018/07/16,7805.72,2301.99
2018/07/17,7855.12,2297.92
2018/07/18,7854.44,2290.11
2018/07/19,7825.3,2282.29
2018/07/20,7820.2,2289.19
2018/07/23,7841.87,2269.31
2018/07/24,7840.77,2280.2
2018/07/25,7932.24,2273.03
2018/07/26,7852.19,2289.06
2018/07/27,7737.42,2294.99
2018/07/30,7630.0,2293.51
2018/07/31,7671.79,2295.26
2018/08/01,7707.29,2307.07
2018/08/02,7802.69,2270.2
2018/08/03,7812.02,2287.68
2018/08/06,7859.68,2286.5
2018/08/07,7883.66,2300.16
2018/08/08,7888.33,2301.45
2018/08/09,7891.78,2303.71
2018/08/10,7839.11,2282.79
2018/08/13,7819.71,2248.45
2018/08/14,7870.89,2258.91
2018/08/15,7774.12,2258.91
2018/08/16,7806.52,2240.8
2018/08/17,7816.33,2247.05
2018/08/20,7821.01,2247.88
2018/08/21,7859.17,2270.06
2018/08/22,7889.1,2273.33
2018/08/23,7878.46,2282.6
2018/08/24,7945.98,2293.21
2018/08/27,8017.9,2299.3
2018/08/28,8030.04,2303.12
2018/08/29,8109.69,2309.03
2018/08/30,8088.36,2307.35
2018/08/31,8109.54,2322.88
2018/09/03,8109.54,2307.03
2018/09/04,8091.25,2315.72
2018/09/05,7995.17,2291.77
2018/09/06,7922.73,2287.61
2018/09/07,7902.54,2281.58
2018/09/10,7924.16,2288.66
2018/09/11,7972.47,2283.2
2018/09/12,7954.23,2282.92
2018/09/13,8013.71,2286.23
2018/09/14,8010.04,2318.25
2018/09/17,7895.79,2303.01
2018/09/18,7956.11,2308.98
2018/09/19,7950.04,2308.46
2018/09/20,8028.23,2323.45
2018/09/21,7986.95,2339.17
2018/09/24,7993.25,2339.17
2018/09/25,8007.47,2339.17
2018/09/26,7990.37,2339.17
2018/09/27,8041.97,2355.43
2018/09/28,8046.35,2343.07
2018/10/01,8037.3,2338.88
2018/10/02,7999.55,2309.57
2018/10/03,8025.09,2309.57
2018/10/04,7879.51,2274.49
2018/10/05,7788.45,2267.52
2018/10/08,7735.95,2253.83
2018/10/09,7738.02,2253.83
2018/10/10,7422.05,2228.61
2018/10/11,7329.06,2129.67
2018/10/12,7496.89,2161.85
2018/10/15,7430.74,2145.12
2018/10/16,7645.49,2145.12
2018/10/17,7642.7,2167.51
2018/10/18,7485.14,2148.31
2018/10/19,7449.03,2156.26
2018/10/22,7468.63,2161.71
2018/10/23,7437.54,2106.1
2018/10/24,7108.4,2097.58
2018/10/25,7318.34,2063.3
2018/10/26,7167.21,2027.15
2018/10/29,7050.29,1996.05
2018/10/30,7161.65,2014.69
2018/10/31,7305.9,2029.69
2018/11/01,7434.06,2024.46
2018/11/02,7356.99,2096.0
2018/11/05,7328.85,2076.92
2018/11/06,7375.96,2089.62
2018/11/07,7570.75,2078.69
2018/11/08,7530.89,2092.63
2018/11/09,7406.9,2086.09
2018/11/12,7200.87,2080.44
2018/11/13,7200.88,2071.23
2018/11/14,7136.39,2068.05
2018/11/15,7259.03,2088.06
2018/11/16,7247.87,2092.4
2018/11/19,7028.48,2100.56
2018/11/20,6908.82,2082.58
2018/11/21,6972.25,2076.55
2018/11/22,6972.25,2069.95
2018/11/23,6938.98,2057.48
2018/11/26,7081.85,2083.02
2018/11/27,7082.7,2099.42
2018/11/28,7291.59,2108.22
2018/11/29,7273.08,2114.1
2018/11/30,7330.54,2096.86
2018/12/03,7441.51,2131.93
2018/12/04,7158.43,2114.35
2018/12/05,7158.43,2101.31
2018/12/06,7188.26,2068.69
2018/12/07,6969.25,2075.76
2018/12/10,7020.52,2053.79
2018/12/11,7031.83,2052.97
2018/12/12,7098.31,2082.57
2018/12/13,7070.33,2095.55
2018/12/14,6910.66,2069.38
2018/12/17,6753.73,2071.09
2018/12/18,6783.91,2062.11
2018/12/19,6636.83,2078.84
2018/12/20,6528.41,2060.12
2018/12/21,6332.99,2061.49
2018/12/24,6192.92,2055.01
2018/12/26,6554.35,2028.01
2018/12/27,6579.49,2028.44
2018/12/28,6584.52,2041.04
2018/12/31,6635.28,2041.04
2019/01/02,6665.94,2010.0
2019/01/03,6463.5,1993.7
2019/01/04,6738.86,2010.25
2019/01/07,6823.47,2037.1
2019/01/08,6897.0,2025.27
2019/01/09,6957.08,2064.71
2019/01/10,6986.07,2063.28
2019/01/11,6971.48,2075.57
2019/01/14,6905.91,2064.52
2019/01/15,7023.83,2097.18
2019/01/16,7034.69,2106.1
2019/01/17,7084.46,2107.06
2019/01/18,7157.23,2124.28
2019/01/21,7157.23,2124.61
2019/01/22,7020.36,2117.77
2019/01/23,7025.77,2127.78
2019/01/24,7073.46,2145.03
2019/01/25,7164.86,2177.73
2019/01/28,7085.69,2177.3
2019/01/29,7028.29,2183.36
2019/01/30,7183.08,2206.2
2019/01/31,7281.74,2204.85
2019/02/01,7263.87,2203.46
2019/02/04,7347.54,2203.46
2019/02/05,7402.08,2203.46
2019/02/06,7375.28,2203.46
2019/02/07,7288.35,2203.42
2019/02/08,7298.2,2177.05
2019/02/11,7307.9,2180.73
2019/02/12,7414.62,2190.47
2019/02/13,7420.38,2201.48
2019/02/14,7426.95,2225.85
2019/02/15,7472.41,2196.09
2019/02/18,7472.41,2210.89
2019/02/19,7486.77,2205.63
2019/02/20,7489.07,2229.76
2019/02/21,7459.71,2228.66
2019/02/22,7527.55,2230.5
2019/02/25,7554.46,2232.56
2019/02/26,7549.3,2226.6
2019/02/27,7554.51,2234.79
